"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
bitcoin,35756.0,668327699451.8364,30605100844.164837,4.066036769319785,1622415526,151,"2021-05-30 16:00:04"
dogecoin,0.303732,39149622420.36601,3021638091.086965,2.552892180855065,1622415548,152,"2021-05-30 16:00:04"
dogecoin,0.301429,39123526701.4903,2927395691.9521084,-0.4214408685570182,1622419128,153,"2021-05-30 17:00:05"
bitcoin,35715.0,667292495757.1445,30650274657.695255,2.7021436688475293,1622419096,154,"2021-05-30 17:00:05"
ethereum,2395.85,278270782653.56213,37392021393.940125,4.411478380119871,1622419132,155,"2021-05-30 17:00:05"
litecoin,170.87,11422743286.149082,4160362295.298566,3.75436661711512,1622419140,156,"2021-05-30 17:00:05"
litecoin,168.73,11262833966.374168,4092766562.1445723,6.540010133339839,1622422665,157,"2021-05-30 18:00:03"
bitcoin,35377.0,662344412546.8746,29078913586.990818,3.85503919348962,1622422797,158,"2021-05-30 18:00:03"
ethereum,2370.25,275168306694.4489,36298349699.034874,6.6530678481020775,1622422619,159,"2021-05-30 18:00:03"
dogecoin,0.299291,38851856670.909294,2621450774.800081,1.494451144091738,1622422775,160,"2021-05-30 18:00:03"
ethereum,2310.74,268844520143.99155,35257762557.78625,3.638101258550513,1622426355,161,"2021-05-30 19:00:04"
dogecoin,0.296449,38487007770.5474,2766045494.590652,1.550891054540048,1622426356,162,"2021-05-30 19:00:04"
litecoin,165.2,11027475003.460747,3978203149.736907,4.194934378126011,1622426266,163,"2021-05-30 19:00:04"
bitcoin,34833.0,652157210491.4718,28524338003.836456,2.4538081479010665,1622426375,164,"2021-05-30 19:00:04"
ethereum,2321.38,267817275195.8218,35325127713.10397,1.4218699759011082,1622429965,165,"2021-05-30 20:00:05"
bitcoin,34880.0,653040735784.2543,29572219396.341026,0.9652899975350823,1622429937,166,"2021-05-30 20:00:05"
litecoin,165.97,11079191161.7141,3996136868.947867,1.9330166676254337,1622429980,167,"2021-05-30 20:00:05"
dogecoin,0.297657,38643826988.14669,2741946267.0395527,0.45795089810412,1622429947,168,"2021-05-30 20:00:05"
litecoin,164.68,10992524007.089582,3970044208.889424,-1.3100155723243045,1622433550,169,"2021-05-30 21:00:04"
bitcoin,34538.0,646643009008.0206,29591489732.873695,-1.0154646880232792,1622433536,170,"2021-05-30 21:00:04"
dogecoin,0.295138,38316811089.366455,2686144276.666187,-1.6009970532441908,1622433581,171,"2021-05-30 21:00:04"
ethereum,2297.83,267748529703.03403,35048157788.74571,-0.49098445787490697,1622433512,172,"2021-05-30 21:00:04"
litecoin,164.68,10992524007.089582,3970044208.889424,-1.3100155723243045,1622433550,173,"2021-05-30 22:00:35"
bitcoin,34538.0,646643009008.0206,29591489732.873695,-1.0154646880232792,1622433536,174,"2021-05-30 22:00:35"
dogecoin,0.295138,38316811089.366455,2686144276.666187,-1.6009970532441908,1622433581,175,"2021-05-30 22:00:35"
ethereum,2297.83,267748529703.03403,35048157788.74571,-0.49098445787490697,1622433512,176,"2021-05-30 22:00:35"
litecoin,165.13,11023071643.24234,3933900893.123848,-3.9966759189648067,1622440665,177,"2021-05-30 23:00:06"
dogecoin,0.295521,38366602360.22416,2588928621.3713875,-2.915098027270286,1622440764,178,"2021-05-30 23:00:06"
ethereum,2327.4,270400719910.78085,34890628469.48202,-2.175099350259003,1622440803,179,"2021-05-30 23:00:06"
bitcoin,34438.0,644762000266.8353,28749765096.37062,-2.931803111238769,1622440723,180,"2021-05-30 23:00:06"
dogecoin,0.300518,38998263229.245,2561867406.9935427,-2.71599069245468,1622444401,181,"2021-05-31 00:00:04"
bitcoin,35015.0,655579539941.7375,29692139756.795723,-2.556312822853084,1622444307,182,"2021-05-31 00:00:04"
litecoin,167.86,11204883835.256126,3983781550.7672014,-4.277048658015077,1622444287,183,"2021-05-31 00:00:04"
ethereum,2380.26,274966565692.0716,34959016812.63143,-2.3468141909756017,1622444320,184,"2021-05-31 00:00:04"
litecoin,173.76,11598570843.382675,4161508565.61347,-1.4568527919570697,1622447929,185,"2021-05-31 01:00:09"
bitcoin,35902.0,672177945787.2977,30633013052.904438,-0.4533349771194048,1622447979,186,"2021-05-31 01:00:09"
dogecoin,0.303947,39460515552.083626,2530423390.262339,-1.3746483451664142,1622447918,187,"2021-05-31 01:00:09"
ethereum,2450.09,284169690129.76556,35933889189.49324,-0.30580824535321527,1622447938,188,"2021-05-31 01:00:09"
bitcoin,36223.0,678199698560.8164,31284243766.285442,1.3035393413210072,1622451576,189,"2021-05-31 02:00:06"
ethereum,2491.5,289381116376.87494,36614936377.64845,2.7054848440790837,1622451516,190,"2021-05-31 02:00:06"
litecoin,175.37,11706597980.410633,4148869218.602401,-0.15840904065434833,1622451525,191,"2021-05-31 02:00:06"
dogecoin,0.304616,39547401181.09218,2502580021.4928694,0.06760805587724202,1622451549,192,"2021-05-31 02:00:06"
litecoin,178.19,11894687616.184114,4384429459.102362,0.9051879166342205,1622455131,193,"2021-05-31 03:00:04"
bitcoin,36023.0,674442927012.5591,31821363954.63285,-0.032233962831241296,1622455050,194,"2021-05-31 03:00:04"
