"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
bitcoin,37638.0,705102876334.453,30741942551.798447,4.875695191164817,1623607183,1476,"2021-06-13 11:00:04"
bitcoin,37543.0,703330781993.031,31359973175.156475,3.9994096809057496,1623610786,1477,"2021-06-13 12:00:04"
bitcoin,37803.0,708196676766.4219,31944898629.9572,5.512681100247983,1623614392,1483,"2021-06-13 13:00:04"
bitcoin,39248.0,729450789513.6859,36281463498.051506,8.691945514576577,1623617995,1487,"2021-06-13 14:00:04"
bitcoin,39094.0,734074412614.9458,37260703733.78112,8.602327483304688,1623621584,1490,"2021-06-13 15:00:03"
bitcoin,38964.0,729966819067.0121,37531635201.113464,8.779294011227911,1623625186,1493,"2021-06-13 16:00:04"
bitcoin,39148.0,733402631079.1185,38185633278.287155,9.761513147962342,1623628792,1498,"2021-06-13 17:00:03"
bitcoin,39240.0,734930613944.1882,38746593438.51761,9.600259716081439,1623632415,1501,"2021-06-13 18:00:19"
bitcoin,39346.0,737114606796.8894,40268637630.39303,9.57336486016441,1623635975,1506,"2021-06-13 19:00:04"
bitcoin,39038.0,731943051711.8827,40628368492.0766,9.662522723444928,1623639585,1509,"2021-06-13 20:00:04"
bitcoin,39037.0,729397363490.229,40132624412.33386,11.693375157967841,1623643191,1514,"2021-06-13 21:00:04"
bitcoin,39358.0,737171424048.4667,40547736088.81065,11.7446399339243,1623646799,1517,"2021-06-13 22:00:04"
bitcoin,39616.0,742202652856.6633,41141655430.87581,12.788547374704237,1623650394,1522,"2021-06-13 23:00:04"
bitcoin,39605.0,738742189424.5662,41830281822.80148,11.901943359048143,1623653992,1527,"2021-06-14 00:00:03"
bitcoin,39574.0,743155284749,42159056082.64682,11.99886538209047,1623657592,1532,"2021-06-14 01:00:05"
bitcoin,39574.0,743155284749,42159056082.64682,11.99886538209047,1623657592,1536,"2021-06-14 02:00:36"
bitcoin,39574.0,743155284749,42159056082.64682,11.99886538209047,1623657592,1540,"2021-06-14 03:00:34"
bitcoin,39440.0,738902333387.1312,42759615239.838425,9.372818524844615,1623668392,1542,"2021-06-14 04:00:08"
bitcoin,39320.0,736639166379.4375,42427971293.254295,9.724003196572383,1623671991,1546,"2021-06-14 05:00:18"
bitcoin,39648.0,742798449372.823,42880397201.19558,10.20684562372157,1623675592,1551,"2021-06-14 06:00:19"
bitcoin,40682.0,762166055420.1791,46976654251.43163,12.99484963194521,1623679181,1554,"2021-06-14 07:00:04"
bitcoin,40852.0,765354979233.5491,49113467211.04884,13.795021776085703,1623682799,1558,"2021-06-14 08:00:03"
bitcoin,40779.0,763985845157.0583,50205223899.612854,12.964997316771914,1623686379,1563,"2021-06-14 09:00:13"
bitcoin,40120.0,751636804102.8157,49365327187.82304,7.294242153263235,1623689948,1568,"2021-06-14 10:00:14"
